implementation_date,program,route
2019-10-07T00:00:00.000,ABLE,M15+
2019-10-30T00:00:00.000,ABLE,B44+
2019-11-21T00:00:00.000,ABLE,M14+
2020-02-19T00:00:00.000,ABLE,B46+
2020-08-10T00:00:00.000,ABLE,M23+
2020-08-10T00:00:00.000,ABLE,M86+
2020-08-10T00:00:00.000,ABLE,M34+
2022-10-03T00:00:00.000,ABLE,Q44+
2022-10-31T00:00:00.000,ABLE,S79+
2022-11-18T00:00:00.000,ABLE,BX41+
2022-11-18T00:00:00.000,ABLE,BX12+
2022-11-28T00:00:00.000,ABLE,Q43
2022-11-28T00:00:00.000,ABLE,BX19
2022-12-12T00:00:00.000,ABLE,B62
2022-12-12T00:00:00.000,ABLE,B42
2022-12-12T00:00:00.000,ABLE,B25
2023-05-01T00:00:00.000,ABLE,BX35
2023-06-12T00:00:00.000,ABLE,BX36
2023-07-14T00:00:00.000,ABLE,Q58
2023-09-25T00:00:00.000,ABLE,B26
2023-11-08T00:00:00.000,ABLE,Q54
2024-06-20T00:00:00.000,ACE,M15+
2024-06-20T00:00:00.000,ACE,B44+
2024-06-20T00:00:00.000,ACE,M14+
2024-06-20T00:00:00.000,ACE,B46+
2024-06-20T00:00:00.000,ACE,M23+
2024-06-20T00:00:00.000,ACE,M34+
2024-06-20T00:00:00.000,ACE,Q44+
2024-06-20T00:00:00.000,ACE,BX41+
2024-06-20T00:00:00.000,ACE,BX12+
2024-06-20T00:00:00.000,ACE,B62
2024-06-20T00:00:00.000,ACE,BX36
2024-06-20T00:00:00.000,ACE,Q58
2024-06-20T00:00:00.000,ACE,BX19
2024-06-20T00:00:00.000,ACE,Q54
2024-09-16T00:00:00.000,ACE,Q43
2024-09-16T00:00:00.000,ACE,B42
2024-09-16T00:00:00.000,ACE,BX35
2024-09-16T00:00:00.000,ACE,S79+
2024-09-16T00:00:00.000,ACE,B35
2024-09-16T00:00:00.000,ACE,B41
2024-09-16T00:00:00.000,ACE,BX28
2024-09-16T00:00:00.000,ACE,BX38
2024-09-16T00:00:00.000,ACE,M101
2024-09-16T00:00:00.000,ACE,S46
2024-09-30T00:00:00.000,ACE,M86+
2024-09-30T00:00:00.000,ACE,B25
2024-09-30T00:00:00.000,ACE,B26
2024-09-30T00:00:00.000,ACE,B82+
2024-09-30T00:00:00.000,ACE,BX6+
2024-09-30T00:00:00.000,ACE,M60+
2024-09-30T00:00:00.000,ACE,M79+
2024-09-30T00:00:00.000,ACE,Q5
2024-09-30T00:00:00.000,ACE,Q53+
2024-09-30T00:00:00.000,ACE,Q69
2025-05-19T00:00:00.000,ACE,M2
2025-05-19T00:00:00.000,ACE,M4
2025-05-27T00:00:00.000,ACE,BX5
2025-05-27T00:00:00.000,ACE,M42
2025-05-27T00:00:00.000,ACE,M100
2025-09-15T00:00:00.000,ACE,BX3
2025-09-15T00:00:00.000,ACE,BX7
2025-09-15T00:00:00.000,ACE,BX20
2025-09-15T00:00:00.000,ACE,Q6
2025-10-13T00:00:00.000,ACE,BX22
2025-10-13T00:00:00.000,ACE,M96
2025-10-13T00:00:00.000,ACE,M116
2025-10-13T00:00:00.000,ACE,BX2
2025-11-10T00:00:00.000,ACE,B11
2025-11-10T00:00:00.000,ACE,B63
2025-11-10T00:00:00.000,ACE,BX15
2025-11-10T00:00:00.000,ACE,BX9
2025-12-08T00:00:00.000,ACE,B60
2025-12-08T00:00:00.000,ACE,B68
2025-12-08T00:00:00.000,ACE,M57
2026-02-16T00:00:00.000,ACE,Q17
2026-02-16T00:00:00.000,ACE,Q27
2026-03-16T00:00:00.000,ACE,B12
2026-03-16T00:00:00.000,ACE,Q60
2026-04-13T00:00:00.000,ACE,M31
2026-04-13T00:00:00.000,ACE,B15
2026-05-11T00:00:00.000,ACE,M7
2026-05-11T00:00:00.000,ACE,Q80
2026-05-11T00:00:00.000,ACE,Q10
2026-06-15T00:00:00.000,ACE,Q8
