average_speed,borough,day_type,month,period,route_id,total_mileage,total_operating_time,trip_type
7.23,Bronx,1,2015-01-01T00:00:00.000,Off-Peak,BX1,62940902.4,8710307.0,LCL/LTD
6.99,Bronx,1,2015-01-01T00:00:00.000,Peak,BX1,30316503.6,4334312.0,LCL/LTD
7.5,Bronx,2,2015-01-01T00:00:00.000,Off-Peak,BX1,18742158,2498651.0,LCL/LTD
7.36,Bronx,2,2015-01-01T00:00:00.000,Peak,BX1,7417580.4,1008139.0,LCL/LTD
9.09,Bronx,1,2015-01-01T00:00:00.000,Off-Peak,BX10,52543814.4,5778595.0,LCL/LTD
7.9,Bronx,1,2015-01-01T00:00:00.000,Peak,BX10,25735366.8,3258072.0,LCL/LTD
10.04,Bronx,2,2015-01-01T00:00:00.000,Off-Peak,BX10,19122602.4,1905401.0,LCL/LTD
9.54,Bronx,2,2015-01-01T00:00:00.000,Peak,BX10,7781752.8,815596.0,LCL/LTD
6.55,Bronx,1,2015-01-01T00:00:00.000,Off-Peak,BX11,49399466.4,7541261.0,LCL/LTD
5.72,Bronx,1,2015-01-01T00:00:00.000,Peak,BX11,26191166.4,4575982.0,LCL/LTD
7.21,Bronx,2,2015-01-01T00:00:00.000,Off-Peak,BX11,20871414,2893090.0,LCL/LTD
6.67,Bronx,2,2015-01-01T00:00:00.000,Peak,BX11,8407368.0,1260067.0,LCL/LTD
9.06,Bronx,1,2015-01-01T00:00:00.000,Off-Peak,BX12,44521052.4,4913457.0,LCL/LTD
7.74,Bronx,1,2015-01-01T00:00:00.000,Peak,BX12,17981625.6,2323632.0,LCL/LTD
10.38,Bronx,2,2015-01-01T00:00:00.000,Off-Peak,BX12,22591720.8,2176994.0,LCL/LTD
9.5,Bronx,2,2015-01-01T00:00:00.000,Peak,BX12,7124781.6,749864.0,LCL/LTD
10.29,Bronx,1,2015-01-01T00:00:00.000,Off-Peak,BX12+,102945974.4,10008578,SBS
9.26,Bronx,1,2015-01-01T00:00:00.000,Peak,BX12+,51643908,5579846.0,SBS
10.76,Bronx,2,2015-01-01T00:00:00.000,Off-Peak,BX12+,37574038.8,3491744.0,SBS
10.26,Bronx,2,2015-01-01T00:00:00.000,Peak,BX12+,18234252,1776832.0,SBS
6.41,Bronx,1,2015-01-01T00:00:00.000,Off-Peak,BX13,27184665.6,4238095.0,LCL/LTD
5.61,Bronx,1,2015-01-01T00:00:00.000,Peak,BX13,15032822.4,2679447.0,LCL/LTD
6.38,Bronx,2,2015-01-01T00:00:00.000,Off-Peak,BX13,13001842.8,2038936.0,LCL/LTD
6.0,Bronx,2,2015-01-01T00:00:00.000,Peak,BX13,5655970.8,942122.0,LCL/LTD
6.32,Bronx,1,2015-01-01T00:00:00.000,Off-Peak,BX15,82369195.2,13030077,LCL/LTD
5.55,Bronx,1,2015-01-01T00:00:00.000,Peak,BX15,36408823.2,6565457.0,LCL/LTD
6.58,Bronx,2,2015-01-01T00:00:00.000,Off-Peak,BX15,39607776,6023068.0,LCL/LTD
6.29,Bronx,2,2015-01-01T00:00:00.000,Peak,BX15,16026836.4,2546705.0,LCL/LTD
9.66,Bronx,1,2015-01-01T00:00:00.000,Off-Peak,BX16,41342256,4280106.0,LCL/LTD
8.8,Bronx,1,2015-01-01T00:00:00.000,Peak,BX16,22007818.8,2499919.0,LCL/LTD
11.08,Bronx,2,2015-01-01T00:00:00.000,Off-Peak,BX16,16374708,1477896.0,LCL/LTD
10.67,Bronx,2,2015-01-01T00:00:00.000,Peak,BX16,7337361.6,687716.0,LCL/LTD
7.46,Bronx,1,2015-01-01T00:00:00.000,Off-Peak,BX17,46145458.8,6183357.0,LCL/LTD
6.66,Bronx,1,2015-01-01T00:00:00.000,Peak,BX17,24973599.6,3749175.0,LCL/LTD
8.13,Bronx,2,2015-01-01T00:00:00.000,Off-Peak,BX17,19022817.6,2340662.0,LCL/LTD
7.8,Bronx,2,2015-01-01T00:00:00.000,Peak,BX17,8623224.0,1104858.0,LCL/LTD
5.57,Bronx,1,2015-01-01T00:00:00.000,Off-Peak,BX19,54469054.8,9786987.0,LCL/LTD
4.97,Bronx,1,2015-01-01T00:00:00.000,Peak,BX19,20267182.8,4077327.0,LCL/LTD
6.05,Bronx,2,2015-01-01T00:00:00.000,Off-Peak,BX19,26399390.4,4361744.0,LCL/LTD
5.74,Bronx,2,2015-01-01T00:00:00.000,Peak,BX19,9515300.4,1658045.0,LCL/LTD
5.92,Bronx,1,2015-01-01T00:00:00.000,Off-Peak,BX2,56439896.4,9539780.0,LCL/LTD
5.7,Bronx,1,2015-01-01T00:00:00.000,Peak,BX2,25326396,4445781.0,LCL/LTD
6.58,Bronx,2,2015-01-01T00:00:00.000,Off-Peak,BX2,14904950.4,2265332.0,LCL/LTD
6.49,Bronx,2,2015-01-01T00:00:00.000,Peak,BX2,6055855.2,933071.0,LCL/LTD
7.24,Bronx,1,2015-01-01T00:00:00.000,Off-Peak,BX21,68037091.2,9401620.0,LCL/LTD
6.41,Bronx,1,2015-01-01T00:00:00.000,Peak,BX21,28737655.2,4480455.0,LCL/LTD
8.09,Bronx,2,2015-01-01T00:00:00.000,Off-Peak,BX21,27536799.6,3402585.0,LCL/LTD
7.63,Bronx,2,2015-01-01T00:00:00.000,Peak,BX21,9542120.4,1250290.0,LCL/LTD
6.55,Bronx,1,2015-01-01T00:00:00.000,Off-Peak,BX22,33686398.8,5139539.0,LCL/LTD
5.96,Bronx,1,2015-01-01T00:00:00.000,Peak,BX22,19391875.2,3256211.0,LCL/LTD
7.45,Bronx,2,2015-01-01T00:00:00.000,Off-Peak,BX22,14131292.4,1897479.0,LCL/LTD
6.97,Bronx,2,2015-01-01T00:00:00.000,Peak,BX22,5726556.0,821322.0,LCL/LTD
12.13,Bronx,1,2015-01-01T00:00:00.000,Off-Peak,BX23,21247545.6,1751361.0,LCL/LTD
11.41,Bronx,1,2015-01-01T00:00:00.000,Peak,BX23,16340601.6,1431905.0,LCL/LTD
12.6,Bronx,2,2015-01-01T00:00:00.000,Off-Peak,BX23,7989505.2,634057.0,LCL/LTD
12.52,Bronx,2,2015-01-01T00:00:00.000,Peak,BX23,3339360.0,266621.0,LCL/LTD
9.55,Bronx,1,2015-01-01T00:00:00.000,Off-Peak,BX24,9541616.4,999041.0,LCL/LTD
8.64,Bronx,1,2015-01-01T00:00:00.000,Peak,BX24,4109565.6,475793.0,LCL/LTD
10.52,Bronx,2,2015-01-01T00:00:00.000,Off-Peak,BX24,4673977.2,444091.0,LCL/LTD
9.98,Bronx,2,2015-01-01T00:00:00.000,Peak,BX24,2471486.4,247753.0,LCL/LTD
7.76,Bronx,1,2015-01-01T00:00:00.000,Off-Peak,BX26,34744161.6,4475836.0,LCL/LTD
6.98,Bronx,1,2015-01-01T00:00:00.000,Peak,BX26,18071179.2,2589343.0,LCL/LTD
8.28,Bronx,2,2015-01-01T00:00:00.000,Off-Peak,BX26,12088411.2,1459772.0,LCL/LTD
7.94,Bronx,2,2015-01-01T00:00:00.000,Peak,BX26,5780851.2,728374.0,LCL/LTD
7.78,Bronx,1,2015-01-01T00:00:00.000,Off-Peak,BX27,24619626,3162702.0,LCL/LTD
6.91,Bronx,1,2015-01-01T00:00:00.000,Peak,BX27,15562198.8,2250929.0,LCL/LTD
7.98,Bronx,2,2015-01-01T00:00:00.000,Off-Peak,BX27,10892480.4,1364745.0,LCL/LTD
7.88,Bronx,2,2015-01-01T00:00:00.000,Peak,BX27,4692016.8,595084.0,LCL/LTD
7.72,Bronx,1,2015-01-01T00:00:00.000,Off-Peak,BX28,48041384.4,6221188.0,LCL/LTD
6.52,Bronx,1,2015-01-01T00:00:00.000,Peak,BX28,16808284.8,2578593.0,LCL/LTD
8.62,Bronx,2,2015-01-01T00:00:00.000,Off-Peak,BX28,20589789.6,2389531.0,LCL/LTD
7.91,Bronx,2,2015-01-01T00:00:00.000,Peak,BX28,6703689.6,847302.0,LCL/LTD
15.39,Bronx,1,2015-01-01T00:00:00.000,Off-Peak,BX29,24786763.2,1610642.0,LCL/LTD
14.58,Bronx,1,2015-01-01T00:00:00.000,Peak,BX29,12990268.8,890749.0,LCL/LTD
15.96,Bronx,2,2015-01-01T00:00:00.000,Off-Peak,BX29,12146947.2,761159.0,LCL/LTD
15.28,Bronx,2,2015-01-01T00:00:00.000,Peak,BX29,4859812.8,318022.0,LCL/LTD
7.82,Bronx,1,2015-01-01T00:00:00.000,Off-Peak,BX3,48405697.2,6186420.0,LCL/LTD
6.78,Bronx,1,2015-01-01T00:00:00.000,Peak,BX3,23933768.4,3530938.0,LCL/LTD
8.02,Bronx,2,2015-01-01T00:00:00.000,Off-Peak,BX3,24428797.2,3046786.0,LCL/LTD
7.53,Bronx,2,2015-01-01T00:00:00.000,Peak,BX3,10187139.6,1353442.0,LCL/LTD
7.87,Bronx,1,2015-01-01T00:00:00.000,Off-Peak,BX30,46648242,5927439.0,LCL/LTD
7.31,Bronx,1,2015-01-01T00:00:00.000,Peak,BX30,26358206.4,3604876.0,LCL/LTD
8.86,Bronx,2,2015-01-01T00:00:00.000,Off-Peak,BX30,17301888,1952288.0,LCL/LTD
8.52,Bronx,2,2015-01-01T00:00:00.000,Peak,BX30,7022894.4,824313.0,LCL/LTD
7.87,Bronx,1,2015-01-01T00:00:00.000,Off-Peak,BX31,49963780.8,6351843.0,LCL/LTD
7.13,Bronx,1,2015-01-01T00:00:00.000,Peak,BX31,22410730.8,3141622.0,LCL/LTD
8.75,Bronx,2,2015-01-01T00:00:00.000,Off-Peak,BX31,16861604.4,1927578.0,LCL/LTD
8.55,Bronx,2,2015-01-01T00:00:00.000,Peak,BX31,7064496.0,826275.0,LCL/LTD
6.34,Bronx,1,2015-01-01T00:00:00.000,Off-Peak,BX32,29485440,4647154.0,LCL/LTD
5.76,Bronx,1,2015-01-01T00:00:00.000,Peak,BX32,14356015.2,2494154.0,LCL/LTD
7.54,Bronx,2,2015-01-01T00:00:00.000,Off-Peak,BX32,8958157.2,1188794.0,LCL/LTD
7.29,Bronx,2,2015-01-01T00:00:00.000,Peak,BX32,4163436.0,570732.0,LCL/LTD
7.5,Bronx,1,2015-01-01T00:00:00.000,Off-Peak,BX33,12517516.8,1668507.0,LCL/LTD
6.0,Bronx,1,2015-01-01T00:00:00.000,Peak,BX33,5404665.6,900032.0,LCL/LTD
8.48,Bronx,2,2015-01-01T00:00:00.000,Off-Peak,BX33,3937564.8,464369.0,LCL/LTD
8.09,Bronx,2,2015-01-01T00:00:00.000,Peak,BX33,2174385.6,268850.0,LCL/LTD
8.22,Bronx,1,2015-01-01T00:00:00.000,Off-Peak,BX34,21461605.2,2609457.0,LCL/LTD
7.28,Bronx,1,2015-01-01T00:00:00.000,Peak,BX34,9010756.8,1238016.0,LCL/LTD
9.39,Bronx,2,2015-01-01T00:00:00.000,Off-Peak,BX34,6987528.0,743906.0,LCL/LTD
8.87,Bronx,2,2015-01-01T00:00:00.000,Peak,BX34,2832753.6,319539.0,LCL/LTD
